stop_id,stop_name,stop_lon,stop_lat,location_type,location_id,location_lon,location_lat,location_place,location_name,location_products,distance
680706,Wasserwerk,8.364096,49.473646,STATION,506886,8364103,49473689,"Ludwigshafen am Rhein","Oggersheim Wasserwerk",BUS,5
239705,Bgm.-Fuchs-Straße,8.46385,49.501156,STATION,508111,8463650,49501232,Mannheim,"Bürgermeister-Fuchs-Straße",TRAM;BUS,17
680705,Wasserwerk,8.364178,49.473717,STATION,506886,8364103,49473689,"Ludwigshafen am Rhein","Oggersheim Wasserwerk",BUS,6
122501,Blumenthalstr.,8.68906,49.421556,STATION,518414,8689099,49421668,Heidelberg,"Neuenheim Blumenthalstraße",TRAM,13
118011,Ochsenkopf,8.652087,49.409559,STATION,506945,8652504,49409515,Heidelberg,Ochsenkopf,TRAM,31
118012,Ochsenkopf,8.653085,49.409427,STATION,506945,8652504,49409515,Heidelberg,Ochsenkopf,TRAM,43
122502,Blumenthalstr.,8.68895,49.42207,STATION,518413,8689081,49421713,Heidelberg,"Neuenheim Blumenthalstraße",TRAM,41
670906,"Neckarh. Friedhof",8.598709,49.462039,STATION,515704,8598119,49461122,Edingen-Neckarhausen,"Neckarhausen Friedhof",BUS,111
284712,"SAP Arena",8.518913,49.463339,STATION,507341,8519697,49464115,Mannheim,"Neuhermsheim SAP Arena",TRAM;BUS,103
203306,Lagewiesenstraße,8.411248,49.493664,STATION,518103,8411251,49493699,"Ludwigshafen am Rhei","Friesenheim Lagewiesenstraße",BUS,4
242912,Luisenp./Technoseum,8.496506,49.478581,STATION,507894,8496236,49478642,Mannheim,Luisenpark/Technoseum,TRAM;BUS,21
203305,Lagewiesenstraße,8.410351,49.493615,STATION,518104,8410362,49493573,"Ludwigshafen am Rhei","Friesenheim Lagewiesenstraße",BUS,5
262505,Neueichwaldstraße,8.500109,49.530279,STATION,510288,8500559,49530330,Mannheim,"Waldhof Neueichwaldstraße",BUS,33
113606,Hans-Thoma-Platz,8.68266,49.42816,STATION,518773,8682906,49428149,Heidelberg,"Handschuhsheim Hans-Thoma-Platz",TRAM;BUS;ON_DEMAND,18
113605,Hans-Thoma-Platz,8.684162,49.427977,STATION,518772,8683112,49427691,Heidelberg,"Handschuhsheim Hans-Thoma-Platz",TRAM;BUS;ON_DEMAND,82
262506,Neueichwaldstraße,8.500373,49.530301,STATION,510288,8500559,49530330,Mannheim,"Waldhof Neueichwaldstraße",BUS,14
113604,Hans-Thoma-Platz,8.683072,49.426879,STATION,518772,8683112,49427691,Heidelberg,"Handschuhsheim Hans-Thoma-Platz",TRAM;BUS;ON_DEMAND,90
